DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
05/30/2015,5.303129963,5.436852524,5.375229403,5.238705546,5.213602012,4.86312952,4.835958448,4.830214283,5.060675147,5.010172783,4.66910796,4.494445984,4.318859123,4.587809597,4.523895996,4.477958893,4.337047568
05/31/2015,6.251091203,6.927776543,6.737873304,6.58734081,6.480896636,5.80103573,5.873263551,5.870506645,6.445707556,6.273478361,5.596993283,5.276500633,4.933220017,5.424838386,5.320658902,5.256142761,4.992113065
06/01/2015,7.240432087,7.86076799,7.776674247,7.614984121,7.529518784,6.673451288,6.209122223,6.206995748,7.514383593,7.324927996,5.930453786,5.472902189,5.307877481,5.748580675,5.831282979,6.071081302,5.141813881
06/02/2015,3.538436772,3.996807203,4.001220108,4.078486253,3.974373006,4.093950247,3.759142394,3.75219647,4.012142898,3.963593535,3.859249223,4.062111771,4.120926448,4.103963985,4.036102108,3.750728774,4.134564169
06/03/2015,3.377618651,3.892403197,3.950500413,4.01325184,3.989204338,4.283571084,3.873005772,3.86640365,3.999072276,3.941684845,4.036662511,4.156173412,4.234389595,4.214329902,4.153627558,3.939171784,4.198688346
06/04/2015,3.801475695,4.345034759,4.340081729,4.402366988,4.359331248,4.514819799,4.225897342,4.219707913,4.483985543,4.407642171,4.423729777,4.613084166,4.736577866,4.657475725,4.610278948,4.247914292,4.648446756
06/05/2015,5.553158505,6.25562553,6.227856306,6.321526498,6.140957868,5.804089646,5.477394146,5.473919366,6.211210758,6.141322918,5.592800254,5.388562954,5.381740464,5.584928432,5.555675732,5.340249093,5.302054245
06/06/2015,6.279717365,6.585860314,6.495873323,6.451145882,6.377212955,5.856528643,5.517521324,5.513015497,6.326781687,6.220497742,5.485656501,5.054493576,4.908377527,5.268674613,5.258300699,5.416191186,4.875229262
06/07/2015,8.937302096,9.363546048,9.035099314,8.98840634,8.788298746,7.75671988,6.95238879,6.95130028,8.959005297,8.501941065,6.482011434,5.708988245,5.484297364,6.06969952,6.32070887,6.602062882,5.486421753
06/08/2015,8.229299756,8.433284057,8.122796897,8.044938181,7.908953112,7.096672847,6.500530479,6.498181974,7.879390222,7.683807271,6.143163689,5.554632002,5.379354459,5.85657167,6.107309932,6.239214352,5.468709356
06/09/2015,7.613540044,7.79388458,7.502017693,7.482747298,7.403487945,6.748579633,6.272253715,6.269231587,7.530382989,7.245401027,5.878057037,5.35493589,5.177531288,5.695783537,5.822600351,5.934192474,5.229377101
06/10/2015,6.661207684,6.797691828,6.690168506,6.631513499,6.563021938,6.109684461,5.642398061,5.637998039,6.590282465,6.372009041,5.478915127,5.097139603,4.985906379,5.249104583,5.359737897,5.578283418,5.020244921
06/11/2015,6.196292579,6.135215587,6.07982512,5.983677961,5.913397815,5.452951834,5.061986145,5.056521418,5.584624275,5.574485719,5.117092857,4.952629352,4.930094572,5.026383554,4.974647468,5.064902629,4.828110043
06/12/2015,5.29241258,5.501932983,5.431394787,5.423195026,5.367691755,5.119088425,4.895962416,4.889545403,5.377208837,5.279270011,4.920262927,4.741859659,4.694988697,4.814432681,4.803570862,4.870913314,4.674248683
06/13/2015,5.39890979,5.709435669,5.65383357,5.675217053,5.641945746,5.489050425,5.16212806,5.157041766,5.718775796,5.566031427,5.209662248,4.992400074,4.953442067,5.072849962,5.017704888,5.137817987,4.881217995
06/14/2015,6.421162085,6.810557801,6.589390817,6.662840233,6.464186987,5.937102025,5.484746425,5.480970689,6.383747972,6.201814082,5.645713341,5.325181058,5.260615146,5.494440634,5.416292639,5.428933672,5.109474177
06/15/2015,7.078258907,7.249970166,7.044339563,7.005388557,6.834021753,6.050270072,5.453435305,5.449311254,6.650826173,6.539121,5.250825815,4.986686254,4.891697384,5.134899155,5.176534062,5.459186358,4.709529965
06/16/2015,6.12209045,5.976051672,5.907265372,5.660318459,5.693806227,5.088074364,4.601588461,4.595342489,5.290711834,5.203171225,4.528707627,4.332848081,4.252344614,4.51279601,4.554964973,4.51898849,4.427742057
06/17/2015,6.300655885,6.583535166,6.573298242,6.497906304,6.379389402,5.771929387,5.448444358,5.444379156,6.174821808,6.177863414,5.444862004,5.244235941,5.199573634,5.415634947,5.426970131,5.363757256,5.142351043
06/18/2015,7.302709976,7.588464767,7.536751268,7.455474223,7.344558688,6.642866116,6.119949958,6.117218007,7.204613793,7.066151325,6.073955896,5.628904971,5.480738005,5.840066869,5.814743868,6.095071744,5.331797818
06/19/2015,5.519834186,5.702558077,5.632173609,5.627661916,5.533525696,5.237716065,4.919733371,4.913316239,5.362839588,5.337862218,4.922660763,4.843503508,4.812123699,4.923707835,4.953260807,4.914118223,4.840917562
06/20/2015,5.182712883,5.560033375,5.539439724,5.59381148,5.553106509,5.539388999,5.230182243,5.224950817,5.663466534,5.567308937,5.31736463,5.191398207,5.176172721,5.302301319,5.299535972,5.25314215,5.197940811
06/21/2015,7.252956409,7.709349097,7.560390538,7.580935528,7.462383247,6.858817847,6.22733539,6.224697478,7.379413711,7.135018694,6.169811186,5.686024664,5.50945948,5.913941773,5.918016476,6.285350211,5.320852745
06/22/2015,6.463883671,6.730840796,6.673518362,6.656940801,6.527161878,5.976667187,5.469469059,5.464977878,6.253155784,6.217779169,5.440269293,5.262989943,5.163340886,5.415026812,5.41404437,5.455899395,5.12132046
06/23/2015,5.57748896,6.043721298,5.923427106,5.978524878,5.849556501,5.598437778,5.262685717,5.257879597,5.900975484,5.809495847,5.288469424,5.195118918,5.173584804,5.313620522,5.327606168,5.278695134,5.175066474
06/24/2015,6.819297461,7.247245392,7.315755573,7.210203796,7.243893721,6.861263037,6.344088548,6.341593085,7.23118792,6.999041238,6.30640246,5.9689502,5.867502176,6.165430089,6.13939951,6.394338278,5.776086954
